0, NVIDIA GeForce RTX 3060, 1595 MiB, 12288 MiB, 40 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 51
0, NVIDIA GeForce RTX 3060, 1586 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1579 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1583 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1583 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1559 MiB, 12288 MiB, 21 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1559 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1555 MiB, 12288 MiB, 19 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1558 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1563 MiB, 12288 MiB, 22 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1563 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1556 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1556 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 17 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 49
0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1556 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1556 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1560 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1560 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1556 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1550 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1550 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 17 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 47
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 47
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 47
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 97 %, 47
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 80 %, 49
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 18 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 16 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 50
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 15 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 48
0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 47
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 47
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 1845 MiB, 24564 MiB, 0 %, 47
