0, NVIDIA GeForce RTX 3060, 1538 MiB, 12288 MiB, 17 %, 52
1, NVIDIA GeForce RTX 4090, 3544 MiB, 24564 MiB, 22 %, 44
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 3826 MiB, 24564 MiB, 48 %, 45
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 52
1, NVIDIA GeForce RTX 4090, 4106 MiB, 24564 MiB, 55 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 4386 MiB, 24564 MiB, 27 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 52
1, NVIDIA GeForce RTX 4090, 4666 MiB, 24564 MiB, 48 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 20 %, 52
1, NVIDIA GeForce RTX 4090, 4946 MiB, 24564 MiB, 39 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 5226 MiB, 24564 MiB, 15 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5366 MiB, 24564 MiB, 30 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5726 MiB, 24564 MiB, 56 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 6006 MiB, 24564 MiB, 46 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 52
1, NVIDIA GeForce RTX 4090, 6286 MiB, 24564 MiB, 4 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 6566 MiB, 24564 MiB, 48 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 6786 MiB, 24564 MiB, 24 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 17 %, 52
1, NVIDIA GeForce RTX 4090, 7066 MiB, 24564 MiB, 36 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 7346 MiB, 24564 MiB, 48 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 7686 MiB, 24564 MiB, 50 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 7826 MiB, 24564 MiB, 14 %, 44
0, NVIDIA GeForce RTX 3060, 1529 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 8046 MiB, 24564 MiB, 27 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 8406 MiB, 24564 MiB, 42 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 18 %, 51
1, NVIDIA GeForce RTX 4090, 8606 MiB, 24564 MiB, 33 %, 44
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 51
1, NVIDIA GeForce RTX 4090, 8886 MiB, 24564 MiB, 27 %, 44
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 51
1, NVIDIA GeForce RTX 4090, 9106 MiB, 24564 MiB, 31 %, 44
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 21 %, 51
1, NVIDIA GeForce RTX 4090, 9306 MiB, 24564 MiB, 40 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 9526 MiB, 24564 MiB, 31 %, 44
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 20 %, 51
1, NVIDIA GeForce RTX 4090, 9806 MiB, 24564 MiB, 48 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 18 %, 51
1, NVIDIA GeForce RTX 4090, 10086 MiB, 24564 MiB, 43 %, 44
0, NVIDIA GeForce RTX 3060, 1530 MiB, 12288 MiB, 17 %, 51
1, NVIDIA GeForce RTX 4090, 10306 MiB, 24564 MiB, 36 %, 43
