0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 1779 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 18 %, 52
1, NVIDIA GeForce RTX 4090, 1779 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 2199 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 16 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 61
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 65
0, NVIDIA GeForce RTX 3060, 1549 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1549 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 68
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 67
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1541 MiB, 12288 MiB, 21 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1547 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1547 MiB, 12288 MiB, 26 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 17 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1547 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 14 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1551 MiB, 12288 MiB, 17 %, 52
1, NVIDIA GeForce RTX 4090, 5941 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1546 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 1869 MiB, 24564 MiB, 81 %, 58
0, NVIDIA GeForce RTX 3060, 1545 MiB, 12288 MiB, 15 %, 52
1, NVIDIA GeForce RTX 4090, 4429 MiB, 24564 MiB, 87 %, 56
