0, NVIDIA GeForce RTX 3060, 1567 MiB, 12288 MiB, 19 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1561 MiB, 12288 MiB, 15 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1557 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1558 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1558 MiB, 12288 MiB, 17 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 16 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 10 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 11 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 15 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 36
0, NVIDIA GeForce RTX 3060, 1536 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 14 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 11 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1542 MiB, 12288 MiB, 17 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1548 MiB, 12288 MiB, 21 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1552 MiB, 12288 MiB, 11 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1548 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 15 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1540 MiB, 12288 MiB, 16 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 12 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1535 MiB, 12288 MiB, 12 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1533 MiB, 12288 MiB, 16 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 20 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 22 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 22 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 24 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 25 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1537 MiB, 12288 MiB, 19 %, 44
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 20 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 0 %, 35
0, NVIDIA GeForce RTX 3060, 1532 MiB, 12288 MiB, 23 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 95 %, 35
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 20 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 37 %, 38
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 22 %, 43
1, NVIDIA GeForce RTX 4090, 5087 MiB, 24564 MiB, 17 %, 38
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 20 %, 43
1, NVIDIA GeForce RTX 4090, 1823 MiB, 24564 MiB, 0 %, 38
0, NVIDIA GeForce RTX 3060, 1534 MiB, 12288 MiB, 19 %, 43
1, NVIDIA GeForce RTX 4090, 3763 MiB, 24564 MiB, 0 %, 38
0, NVIDIA GeForce RTX 3060, 1544 MiB, 12288 MiB, 17 %, 43
1, NVIDIA GeForce RTX 4090, 7923 MiB, 24564 MiB, 49 %, 45
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 18 %, 44
1, NVIDIA GeForce RTX 4090, 8043 MiB, 24564 MiB, 100 %, 54
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 18 %, 43
1, NVIDIA GeForce RTX 4090, 8045 MiB, 24564 MiB, 100 %, 56
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 23 %, 43
1, NVIDIA GeForce RTX 4090, 8047 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 28 %, 43
1, NVIDIA GeForce RTX 4090, 8049 MiB, 24564 MiB, 100 %, 58
0, NVIDIA GeForce RTX 3060, 1543 MiB, 12288 MiB, 24 %, 43
