0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 841 MiB, 24564 MiB, 0 %, 37
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 1481 MiB, 24564 MiB, 91 %, 38
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 0 %, 42
0, NVIDIA GeForce RTX 3060, 1772 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 6 %, 40
0, NVIDIA GeForce RTX 3060, 1772 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 10 %, 39
0, NVIDIA GeForce RTX 3060, 1770 MiB, 12288 MiB, 16 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 6 %, 39
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 20 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 5 %, 38
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2477 MiB, 24564 MiB, 5 %, 38
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2577 MiB, 24564 MiB, 13 %, 38
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2697 MiB, 24564 MiB, 30 %, 38
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 2837 MiB, 24564 MiB, 6 %, 38
0, NVIDIA GeForce RTX 3060, 1775 MiB, 12288 MiB, 21 %, 41
1, NVIDIA GeForce RTX 4090, 3037 MiB, 24564 MiB, 30 %, 38
0, NVIDIA GeForce RTX 3060, 1775 MiB, 12288 MiB, 20 %, 41
1, NVIDIA GeForce RTX 4090, 3199 MiB, 24564 MiB, 27 %, 38
0, NVIDIA GeForce RTX 3060, 1775 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 3339 MiB, 24564 MiB, 27 %, 38
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 3539 MiB, 24564 MiB, 38 %, 38
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 3739 MiB, 24564 MiB, 29 %, 38
0, NVIDIA GeForce RTX 3060, 1763 MiB, 12288 MiB, 19 %, 41
1, NVIDIA GeForce RTX 4090, 3879 MiB, 24564 MiB, 25 %, 38
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 15 %, 41
1, NVIDIA GeForce RTX 4090, 4059 MiB, 24564 MiB, 33 %, 38
0, NVIDIA GeForce RTX 3060, 1770 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4199 MiB, 24564 MiB, 21 %, 38
0, NVIDIA GeForce RTX 3060, 1771 MiB, 12288 MiB, 13 %, 41
1, NVIDIA GeForce RTX 4090, 4339 MiB, 24564 MiB, 31 %, 38
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 15 %, 41
1, NVIDIA GeForce RTX 4090, 4479 MiB, 24564 MiB, 10 %, 38
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 16 %, 41
1, NVIDIA GeForce RTX 4090, 4659 MiB, 24564 MiB, 26 %, 38
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 15 %, 41
1, NVIDIA GeForce RTX 4090, 4753 MiB, 24564 MiB, 28 %, 38
0, NVIDIA GeForce RTX 3060, 1771 MiB, 12288 MiB, 11 %, 41
1, NVIDIA GeForce RTX 4090, 6803 MiB, 24564 MiB, 80 %, 45
0, NVIDIA GeForce RTX 3060, 1771 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 6843 MiB, 24564 MiB, 100 %, 54
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 0 %, 43
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 21 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 0 %, 42
0, NVIDIA GeForce RTX 3060, 1768 MiB, 12288 MiB, 19 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 0 %, 40
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 4 %, 40
0, NVIDIA GeForce RTX 3060, 1776 MiB, 12288 MiB, 17 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 6 %, 39
