0, NVIDIA GeForce RTX 3060, 1769 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4749 MiB, 24564 MiB, 0 %, 38
0, NVIDIA GeForce RTX 3060, 1763 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 5831 MiB, 24564 MiB, 99 %, 53
0, NVIDIA GeForce RTX 3060, 1764 MiB, 12288 MiB, 14 %, 41
1, NVIDIA GeForce RTX 4090, 5831 MiB, 24564 MiB, 99 %, 57
0, NVIDIA GeForce RTX 3060, 1769 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 73 %, 51
0, NVIDIA GeForce RTX 3060, 1774 MiB, 12288 MiB, 20 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 92 %, 58
0, NVIDIA GeForce RTX 3060, 1774 MiB, 12288 MiB, 20 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 100 %, 59
0, NVIDIA GeForce RTX 3060, 1774 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 100 %, 59
0, NVIDIA GeForce RTX 3060, 1774 MiB, 12288 MiB, 16 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 99 %, 60
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 15 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 100 %, 60
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 19 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 100 %, 63
0, NVIDIA GeForce RTX 3060, 1758 MiB, 12288 MiB, 20 %, 41
1, NVIDIA GeForce RTX 4090, 8651 MiB, 24564 MiB, 1 %, 48
0, NVIDIA GeForce RTX 3060, 1765 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4765 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1765 MiB, 12288 MiB, 13 %, 41
1, NVIDIA GeForce RTX 4090, 4765 MiB, 24564 MiB, 3 %, 44
0, NVIDIA GeForce RTX 3060, 1775 MiB, 12288 MiB, 12 %, 41
1, NVIDIA GeForce RTX 4090, 4765 MiB, 24564 MiB, 0 %, 43
0, NVIDIA GeForce RTX 3060, 1769 MiB, 12288 MiB, 16 %, 41
1, NVIDIA GeForce RTX 4090, 4765 MiB, 24564 MiB, 0 %, 43
