0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 13 %, 48
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 13 %, 48
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1704 MiB, 12288 MiB, 13 %, 48
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 74
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 33 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 70
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 21 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 79
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1704 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 76
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 20 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 80
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 21 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 69
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 81
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1723 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 77
0, NVIDIA GeForce RTX 3060, 1724 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 69
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 81
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 75
0, NVIDIA GeForce RTX 3060, 1703 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1703 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1703 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1703 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 78
0, NVIDIA GeForce RTX 3060, 1703 MiB, 12288 MiB, 19 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1697 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 20 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 81
0, NVIDIA GeForce RTX 3060, 1714 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 14 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 72
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 19 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 11 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 18 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 74
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1699 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1699 MiB, 12288 MiB, 11 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 80
0, NVIDIA GeForce RTX 3060, 1699 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1699 MiB, 12288 MiB, 15 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 77
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 20 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 12 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 13 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 28 %, 49
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 79
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 71
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 82
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 20 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 21 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 97 %, 72
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 73
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 21 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 16 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 14 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 80
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1697 MiB, 12288 MiB, 17 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 78
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 22 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 82
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 20 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 98 %, 70
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1698 MiB, 12288 MiB, 11 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 82
0, NVIDIA GeForce RTX 3060, 1714 MiB, 12288 MiB, 15 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 79
0, NVIDIA GeForce RTX 3060, 1714 MiB, 12288 MiB, 25 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 83
0, NVIDIA GeForce RTX 3060, 1714 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 99 %, 70
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 13 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 82
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 50
1, NVIDIA GeForce RTX 4090, 7583 MiB, 24564 MiB, 100 %, 84
