0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 21 %, 54
1, NVIDIA GeForce RTX 4090, 12887 MiB, 24564 MiB, 0 %, 46
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 19 %, 54
1, NVIDIA GeForce RTX 4090, 13107 MiB, 24564 MiB, 15 %, 46
0, NVIDIA GeForce RTX 3060, 1707 MiB, 12288 MiB, 20 %, 53
1, NVIDIA GeForce RTX 4090, 13307 MiB, 24564 MiB, 26 %, 46
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 13527 MiB, 24564 MiB, 31 %, 46
0, NVIDIA GeForce RTX 3060, 1717 MiB, 12288 MiB, 12 %, 54
1, NVIDIA GeForce RTX 4090, 13727 MiB, 24564 MiB, 25 %, 46
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 13947 MiB, 24564 MiB, 32 %, 46
0, NVIDIA GeForce RTX 3060, 1714 MiB, 12288 MiB, 22 %, 53
1, NVIDIA GeForce RTX 4090, 14147 MiB, 24564 MiB, 34 %, 46
0, NVIDIA GeForce RTX 3060, 1712 MiB, 12288 MiB, 27 %, 53
1, NVIDIA GeForce RTX 4090, 14367 MiB, 24564 MiB, 30 %, 46
0, NVIDIA GeForce RTX 3060, 1717 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 14507 MiB, 24564 MiB, 18 %, 46
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 14727 MiB, 24564 MiB, 33 %, 46
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 14927 MiB, 24564 MiB, 28 %, 46
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 19 %, 53
1, NVIDIA GeForce RTX 4090, 15147 MiB, 24564 MiB, 10 %, 46
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 14 %, 53
1, NVIDIA GeForce RTX 4090, 15347 MiB, 24564 MiB, 38 %, 46
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 15567 MiB, 24564 MiB, 33 %, 45
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 15767 MiB, 24564 MiB, 7 %, 45
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 13 %, 53
1, NVIDIA GeForce RTX 4090, 15987 MiB, 24564 MiB, 42 %, 45
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 21 %, 53
1, NVIDIA GeForce RTX 4090, 16187 MiB, 24564 MiB, 29 %, 45
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 21 %, 53
1, NVIDIA GeForce RTX 4090, 16327 MiB, 24564 MiB, 9 %, 45
0, NVIDIA GeForce RTX 3060, 1709 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 16547 MiB, 24564 MiB, 18 %, 45
0, NVIDIA GeForce RTX 3060, 1710 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 16827 MiB, 24564 MiB, 42 %, 45
0, NVIDIA GeForce RTX 3060, 1717 MiB, 12288 MiB, 12 %, 53
1, NVIDIA GeForce RTX 4090, 17047 MiB, 24564 MiB, 33 %, 45
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 21 %, 53
1, NVIDIA GeForce RTX 4090, 17247 MiB, 24564 MiB, 14 %, 45
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 20 %, 52
1, NVIDIA GeForce RTX 4090, 17467 MiB, 24564 MiB, 29 %, 45
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 24 %, 52
1, NVIDIA GeForce RTX 4090, 17647 MiB, 24564 MiB, 37 %, 45
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 17807 MiB, 24564 MiB, 31 %, 45
0, NVIDIA GeForce RTX 3060, 1716 MiB, 12288 MiB, 20 %, 52
1, NVIDIA GeForce RTX 4090, 17967 MiB, 24564 MiB, 19 %, 45
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 18147 MiB, 24564 MiB, 36 %, 44
0, NVIDIA GeForce RTX 3060, 1715 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 18307 MiB, 24564 MiB, 22 %, 44
0, NVIDIA GeForce RTX 3060, 1721 MiB, 12288 MiB, 20 %, 52
1, NVIDIA GeForce RTX 4090, 18487 MiB, 24564 MiB, 39 %, 44
0, NVIDIA GeForce RTX 3060, 1721 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 18667 MiB, 24564 MiB, 6 %, 44
0, NVIDIA GeForce RTX 3060, 1713 MiB, 12288 MiB, 22 %, 52
1, NVIDIA GeForce RTX 4090, 18867 MiB, 24564 MiB, 37 %, 44
0, NVIDIA GeForce RTX 3060, 1720 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 19067 MiB, 24564 MiB, 35 %, 44
0, NVIDIA GeForce RTX 3060, 1719 MiB, 12288 MiB, 12 %, 52
1, NVIDIA GeForce RTX 4090, 19247 MiB, 24564 MiB, 23 %, 44
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 18 %, 52
1, NVIDIA GeForce RTX 4090, 19487 MiB, 24564 MiB, 39 %, 44
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 13 %, 52
1, NVIDIA GeForce RTX 4090, 19687 MiB, 24564 MiB, 35 %, 44
0, NVIDIA GeForce RTX 3060, 1708 MiB, 12288 MiB, 21 %, 52
1, NVIDIA GeForce RTX 4090, 19847 MiB, 24564 MiB, 22 %, 44
