0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 12 %, 45
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 54
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 4991 MiB, 24564 MiB, 0 %, 54
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 53
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 12 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 69
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 71
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 73
0, NVIDIA GeForce RTX 3060, 1020 MiB, 12288 MiB, 9 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 72
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 9 %, 45
1, NVIDIA GeForce RTX 4090, 9093 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 97 %, 70
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 10765 MiB, 24564 MiB, 99 %, 69
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 10 %, 45
1, NVIDIA GeForce RTX 4090, 11893 MiB, 24564 MiB, 100 %, 75
