0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 59
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 58
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 1683 MiB, 24564 MiB, 0 %, 57
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6525 MiB, 24564 MiB, 100 %, 57
0, NVIDIA GeForce RTX 3060, 1031 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 74
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 13 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 76
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 75
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 12 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1019 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1018 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 77
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1021 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1023 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1027 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1024 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1025 MiB, 12288 MiB, 12 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1016 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 78
0, NVIDIA GeForce RTX 3060, 1015 MiB, 12288 MiB, 9 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1026 MiB, 12288 MiB, 10 %, 57
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
0, NVIDIA GeForce RTX 3060, 1022 MiB, 12288 MiB, 12 %, 58
1, NVIDIA GeForce RTX 4090, 6585 MiB, 24564 MiB, 100 %, 79
